Investigation.Type,Accident.Number,Event.Date,LOCATION,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Accident,ERA20LA277,2020-08-05,"ST. AGATHA, ME",44.693889,-69.381629,Minor,Substantial,Piper,PA28,1.0,Reciprocating,Instructional,VMC
Accident,WPR20CA250,2020-08-03,"KALISPELL, MT",48.167221,-114.214996,Non-Fatal,Substantial,Cessna,A185,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA327,2020-08-03,"ALICIA, AR",35.894443,-91.125831,Minor,Substantial,Grumman,G164,1.0,Turbo Prop,Aerial Application,VMC
Accident,ERA20LA272,2020-08-02,"ALABASTER, AL",33.178333,-86.783332,Non-Fatal,Substantial,Piper,PA 30,2.0,Reciprocating,Instructional,VMC
Accident,CEN20LA322,2020-08-02,"JONESBORO, LA",32.213333,-92.729721,Siruose,Substantial,Quad City,CHALLENGER,1.0,Reciprocating,Personal,VMC
Accident,WPR20LA256,2020-08-02,"SAN JOSE, CA",37.337776,-121.800277,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA274,2020-08-01,"HONESDALE, PA",41.515556,-75.251663,Non-Fatal,Substantial,Piper,PA32RT,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA271,2020-08-01,"DUNNELLON, FL",29.061388,-82.397224,Fatal,Substantial,American Aviation,AA 5,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA321,2020-08-01,"SEILING, OK",36.15139,-98.933891,Non-Fatal,Substantial,Piper,PA28R,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA349,2020-08-01,"BENTONVILLE, AR",36.345275,-94.219444,Non-Fatal,Substantial,Cessna,T206,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA275,2020-08-01,"SUSANVILLE, CA",40.650276,-120.768608,Non-Fatal,Substantial,Cessna,A185,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA320,2020-07-31,"MEMPHIS, MO",40.396945,-92.181663,Minor,Substantial,Cessna,A188,1.0,Reciprocating,Aerial Application,VMC
Accident,WPR20LA245,2020-07-30,"ENNIS, MT",45.389999,-111.558052,Fatal,Substantial,Cessna,337,2.0,Reciprocating,Business,VMC
Accident,ERA20LA262,2020-07-28,"MALBIS, AL",30.713333,-87.705001,Fatal,Substantial,Beech,F33,1.0,Reciprocating,Personal,IMC
Accident,CEN20LA314,2020-07-28,"Houston, TX",29.759885,-95.369461,Siruose,Destroyed,Piper,PA28R,1.0,REC,Pers,VMC
Accident,CEN20CA312,2020-07-27,"TIRO, OH",40.914722,-82.79,Non-Fatal,Substantial,Air Tractor,AT 602,1.0,Turbo Prop,Aerial Application,VMC
Accident,WPR20LA239,2020-07-26,"HENEFER, UT",40.986667,-111.529724,Minor,Substantial,Vans,RV7,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA310,2020-07-25,"ANGOLA, IN",41.636665,-85.086112,Minor,Substantial,Champion,7GCBC,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA306,2020-07-25,"GRANT, NE",40.747222,-101.709999,Fatal,Substantial,Air Tractor,AT502,1.0,Turbo Prop,Aerial Application,VMC
Accident,CEN20CA307,2020-07-25,"IMPERIAL, NE",40.406944,-101.6175,Siruose,Substantial,Vans,VANS RV 6,1.0,Reciprocating,Personal,VMC
Accident,WPR20LA238,2020-07-25,"WEST JORDAN, UT",40.618331,-111.988891,Fatal,Substantial,Piper,PA32R,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA261,2020-07-24,"SALINAS, PR",17.956111,-66.284446,Non-Fatal,Substantial,Cessna,177RG,1.0,Reciprocating,Instructional,VMC
Accident,WPR20LA237,2020-07-24,"TEHACHAPI, CA",35.136112,-118.446388,Fatal,Substantial,Vans,VANS RV-8,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA301,2020-07-22,"IDABEL, OK",33.900001,-94.830001,Non-Fatal,Substantial,Vans,RV4,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA259,2020-07-22,"MONTGOMERY, AL",32.301387,-86.395278,Non-Fatal,Substantial,Beech,400,2.0,Turbo Fan,Personal,VMC
Accident,WPR20CA254,2020-07-22,"CLEARWATER, OR",43.223331,-122.421112,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA298,2020-07-21,"CAMBRIDGE, MN",45.558055,-93.264442,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Instructional,VMC
Accident,CEN20CA296,2020-07-20,"BLOOMINGTON, IN",39.160556,-86.541389,Non-Fatal,Substantial,Cessna,170B,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA258,2020-07-20,"POTTSTOWN, PA",40.2775,-75.787223,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA233,2020-07-19,"BEAR VALLEY, AK",61.057498,-149.729995,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,Unk
Accident,WPR20CA230,2020-07-18,"RENO, NV",39.663055,-119.881668,Non-Fatal,Substantial,Seele,XPA-18,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA291,2020-07-18,"ARLINGTON, TX",32.663887,-97.094169,Non-Fatal,Substantial,Cessna,140,1.0,Reciprocating,Instructional,VMC
Accident,CEN20CA289,2020-07-17,"GLENWOOD SPRINGS, CO",39.506111,-107.309165,Non-Fatal,Substantial,Cessna,305,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA317,2020-07-17,"OSCEOLA, WI",45.309444,-92.690002,Non-Fatal,Substantial,Cessna,120,1.0,Reciprocating,Instructional,VMC
Accident,WPR20LA223,2020-07-15,"VAUGHN, NM",34.598331,-105.198608,Non-Fatal,Substantial,Piper,PA 30,2.0,Reciprocating,Personal,VMC
Accident,ERA20CA253,2020-07-15,"WASHINGTON, NC",35.561111,-76.231941,Non-Fatal,Substantial,Air Tractor,AT502,1.0,Turbo Prop,Aerial Application,VMC
Accident,CEN20CA280,2020-07-14,"NEW CARLISLE, OH",39.931388,-84.016944,Non-Fatal,Substantial,Waco,YKC,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA281,2020-07-14,"HOUSTON, TX",29.506111,-95.476943,Non-Fatal,Substantial,Champion,7GCBC,1.0,Reciprocating,Instructional,VMC
Accident,ANC20LA069,2020-07-14,"BIRCH CREEK, AK",66.576385,-145.255004,Non-Fatal,Substantial,Air Tractor,AT802,1.0,Turbo Prop,Firefighting,VMC
Accident,CEN20CA284,2020-07-14,"SPRING, TX",30.054166,-95.551666,Non-Fatal,Substantial,Beech,95 55,2.0,Reciprocating,Instructional,VMC
Accident,ERA20CA252,2020-07-14,"MANVILLE, NJ",40.524444,-74.598335,Minor,Substantial,Furlong,CA-6,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA222,2020-07-13,"HAYWARD, CA",37.658889,-122.121665,Non-Fatal,Substantial,Cessna,152,1.0,Reciprocating,Instructional,VMC
Accident,WPR20CA220,2020-07-13,"PORT TOWNSEND, WA",48.05389,-122.810554,Non-Fatal,Substantial,Cessna,A185,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA219,2020-07-12,"CONCORD, CA",37.989723,-122.056945,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,WPR20CA218,2020-07-12,"RICHLAND, WA",46.410278,-119.585556,Non-Fatal,Substantial,Rans,S6,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA277,2020-07-12,"RAND, CO",40.543334,-106.193885,Minor,Substantial,Kitfox,KITFOX SPORT,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA276,2020-07-12,"KEOKUK, IA",40.442779,-91.424163,Non-Fatal,Substantial,Rockwell,S2R R1340,1.0,Turbo Prop,Ferry,VMC
Accident,ERA20LA245,2020-07-12,"FALMOUTH, KY",38.641666,-84.197776,Non-Fatal,Substantial,Cessna,177,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA227,2020-07-12,"MCCALL, ID",45.150554,-114.999443,Non-Fatal,Substantial,Champion,7GCBC,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA221,2020-07-11,"PRESTON, ID",42.106945,-111.912498,Non-Fatal,Substantial,Quickie,Q2,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA271,2020-07-10,"DUSTIN, OK",35.154167,-95.987777,Fatal,Substantial,Cessna,T188,1.0,Reciprocating,Aerial Application,VMC
Accident,CEN20LA279,2020-07-10,"DALHART, TX",36.060832,-102.518608,Non-Fatal,Substantial,Air Tractor,AT502,1.0,Turbo Prop,Aerial Observation,VMC
Accident,WPR20CA232,2020-07-10,"NENANA, AK",64.138053,-147.986663,Non-Fatal,Substantial,Cessna,U206,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA278,2020-07-10,"Springfield, CO",37.443054,-102.61444,Fatal,Destroyed,Grumman,G164,1.0,REC,Aapl,VMC
Accident,ERA20CA250,2020-07-09,"AUBURN, ME",44.04861,-70.283607,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,WPR20LA215,2020-07-08,"PORT ORCHARD, WA",47.468055,-122.564445,Siruose,Substantial,Cessna,150,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA217,2020-07-08,"ABSAROKEE, MT",45.499168,-109.435279,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA268,2020-07-07,"BUENA VISTA, CO",38.81361,-106.121391,Siruose,Substantial,Mooney,M20TN,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA240,2020-07-06,"BARDSTOWN, KY",37.814445,-85.499725,Non-Fatal,Substantial,Piper,PA28R,1.0,Reciprocating,Instructional,VMC
Accident,WPR20CA214,2020-07-06,"MARION, MT",48.094722,-114.851669,Non-Fatal,Substantial,Piper,PA 18A-135,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA213,2020-07-06,"REDMOND, OR",44.254165,-121.152221,Non-Fatal,Substantial,Beech,33,1.0,Reciprocating,Instructional,VMC
Accident,CEN20LA266,2020-07-06,"Pauls Valley, OK",34.749168,-97.26889,Minor,Destroyed,Lancair,LANCAIR,1.0,REC,Pers,VMC
Accident,WPR20CA205,2020-07-05,"SEDONA, AZ",34.863887,-111.791946,Non-Fatal,Substantial,Beech,23,1.0,Reciprocating,Personal,VMC
Accident,ANC20LA065,2020-07-05,"ANCHORAGE, AK",61.159,-149.989196,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA263,2020-07-05,"Eveleth, MN",47.46051,-92.540481,Minor,Destroyed,Piper,PA32,1.0,REC,Pers,VMC
Accident,WPR20CA208,2020-07-04,"NEENAH, WI",44.159999,-88.559448,Non-Fatal,Substantial,Mooney,M20E,1.0,Reciprocating,Personal,VMC
Accident,ANC20LA064,2020-07-04,"SOLDOTNA, AK",60.45,-150.933334,Non-Fatal,Substantial,Piper,PA22,1.0,Reciprocating,Personal,VMC
Accident,ANC20CA066,2020-07-04,"TYONEK, AK",61.220001,-152.16,Non-Fatal,Substantial,Piper,PA22,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA254,2020-07-04,"OOLTEWAH, TN",35.079723,-85.050277,Non-Fatal,Substantial,Lockwood,AIRCAM,2.0,Reciprocating,Personal,VMC
Accident,ERA20LA237,2020-07-03,"TITUSVILLE, FL",28.516387,-80.799163,Non-Fatal,Substantial,Piper,PA46,1.0,Turbo Prop,Personal,VMC
Accident,CEN20LA269,2020-07-03,"WELDON, AR",35.462776,-91.17694,Non-Fatal,Substantial,Air Tractor,AT 602,1.0,Turbo Prop,Aerial Application,VMC
Accident,CEN20LA265,2020-07-02,"MARKSVILLE, LA",31.1,-92.224441,Siruose,Substantial,Titan,TITAN TORNADO,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA239,2020-07-02,"CRYSTAL RIVER, FL",28.87,-82.569999,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,Instructional,VMC
Accident,ANC20CA063,2020-07-02,"NIKOLAI, AK",62.553054,-153.38194,Non-Fatal,Substantial,Stinson,108,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA241,2020-07-02,"PLATTSBURGH, NY",44.636112,-73.425277,Non-Fatal,Substantial,Aviat,A1,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA204,2020-07-02,"SAN DIEGO, CA",32.815834,-117.139442,Non-Fatal,Substantial,Cessna,A185,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA236,2020-07-01,"MEADVILLE, PA",41.626667,-80.214721,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA235,2020-07-01,"CHESAPEAKE, VA",36.665,-76.321113,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,CEN20CA255,2020-07-01,"BRAINERD, MN",46.306388,-94.176391,Minor,Substantial,Piper,PA18A-150,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA258,2020-07-01,"BRIDGEPORT, TX",33.162776,-97.824165,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA256,2020-07-01,"Round Rock, TX",30.559444,-97.704719,Fatal,Destroyed,Cessna,320,2.0,REC,Pers,VMC
Accident,WPR20CA200,2020-06-29,"MCMINNVILLE, OR",45.194442,-123.136108,Non-Fatal,Substantial,Vans,RV-8,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA253,2020-06-27,"DAVENPORT, IA",41.612499,-90.588333,Minor,Substantial,Beech,23,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA254,2020-06-27,"ERIE, MI",41.77639,-83.446945,Minor,Substantial,Volmer,VJ22,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA248,2020-06-27,"Zavalla, TX",31.1875,-94.340835,Fatal,Destroyed,Piper,PA32R,1.0,REC,Pers,IMC
Accident,CEN20CA251,2020-06-25,"MINNEAPOLIS, MN",45.145278,-93.211944,Non-Fatal,Substantial,Sonex,ONEX,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA250,2020-06-25,"RED WING, MN",44.589443,-92.485,Non-Fatal,Substantial,Hatz,HATZ CB 1,1.0,Reciprocating,Personal,VMC
Accident,WPR20LA196,2020-06-25,"Centerville, UT",40.779167,-111.895835,Fatal,Destroyed,Kostrazewa Andre,Sonex Light Sport,1.0,REC,Pers,VMC
Accident,WPR20CA198,2020-06-24,"YELLOW PINE, ID",45.150554,-114.999443,Non-Fatal,Substantial,Maule,M7,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA247,2020-06-24,"FREDERICKSBURG, TX",30.243333,-98.909164,Non-Fatal,Substantial,Cub Crafters Inc,CC19-180,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA245,2020-06-24,"WINFIELD, TX",33.164165,-95.147499,Siruose,Substantial,Cessna,182,1.0,Reciprocating,Aerial Observation,VMC
Accident,WPR20CA195,2020-06-24,"LIBERTY, UT",41.316387,-111.847778,Minor,Substantial,Capella,XLS,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA225,2020-06-23,"HOLLYWOOD, FL",26.001111,-80.240837,Non-Fatal,Substantial,Cessna,152,1.0,Reciprocating,Instructional,VMC
Accident,WPR20LA194,2020-06-23,"IMNAHA, OR",45.427776,-116.693885,Siruose,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA231,2020-06-23,"ST ANTHONY, ID",43.946666,-111.692222,Non-Fatal,Substantial,Chad Lewis,KITFOX SUPER SPORT,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA223,2020-06-22,"MONROE, NC",34.998889,-80.644165,Non-Fatal,Substantial,Piper,PA18,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA226,2020-06-22,"SHELBY, NC",35.254165,-81.525001,Non-Fatal,Substantial,Cessna,150,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA239,2020-06-20,"Millersport, OH",39.890403,-82.539581,Non-Fatal,Destroyed,Cessna,150,1.0,REC,Pers,VMC
Accident,CEN20CA233,2020-06-17,"MOUNT VICTORY, OH",40.372222,-83.511665,Non-Fatal,Substantial,Piper,J3C-65,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA185,2020-06-17,"CLOVIS, NM",34.426666,-103.077499,Non-Fatal,Substantial,Vans,RV 6,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA219,2020-06-17,"MCALPIN, FL",30.129138,-82.959373,Non-Fatal,Substantial,Cessna,152,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA217,2020-06-16,"ATMORE, AL",31.101388,-87.538887,Fatal,Substantial,Air Tractor,AT502,1.0,Turbo Prop,Aerial Application,VMC
Accident,WPR20CA184,2020-06-16,"MARICOPA, AZ",32.987777,-111.918052,Non-Fatal,Substantial,Cessna,P210,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA230,2020-06-15,"WILLISTON, FL",29.355556,-82.471946,Non-Fatal,Substantial,Piper,PA46,1.0,Turbo Prop,Personal,VMC
Accident,WPR20CA183,2020-06-15,"BUTTE, MT",45.954723,-112.497497,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,VMC
Accident,WPR20CA188,2020-06-14,"LYNDEN, WA",46.310623,-123.989089,Siruose,Substantial,Cessna,177RG,1.0,Reciprocating,Positioning,VMC
Accident,ERA20CA214,2020-06-13,"GHENT, NY",42.347221,-73.635559,Non-Fatal,Substantial,Waco,YMF F5C,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA227,2020-06-13,"Mandan, ND",46.768054,-100.89444,Fatal,Destroyed,Vans,RV8,1.0,REC,Pers,VMC
Accident,WPR20LA180,2020-06-12,"RENTON, WA",47.488334,-122.212219,Minor,Substantial,Bellanca,7KCAB,1.0,Reciprocating,Instructional,VMC
Accident,CEN20CA229,2020-06-12,"MCCURTAIN, OK",35.145,-94.916114,Siruose,Substantial,Cessna,T188,1.0,Reciprocating,Aerial Application,VMC
Accident,CEN20CA241,2020-06-12,"BOWLING GREEN, MO",39.369998,-91.219169,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA257,2020-06-12,"REEDSBURG, WI",43.528888,-89.983055,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,CEN20CA225,2020-06-09,"AITKIN, MN",46.548332,-93.676666,Non-Fatal,Substantial,Cessna,170,1.0,Reciprocating,Instructional,VMC
Accident,WPR20CA178,2020-06-09,"SANTA BARBARA, CA",34.427223,-119.839996,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,VMC
